iter	F1	Logloss	F1:use_weights=true	F1:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
87	0.8820239088	0.4508950666	0.8820239088	0.8820239088	0.8292315734	0.8292315734	0.9419952494	0.9419952494
88	0.8820141005	0.4492815231	0.8820141005	0.8820141005	0.8292142349	0.8292142349	0.9419952494	0.9419952494
89	0.8820141005	0.4476489526	0.8820141005	0.8820141005	0.8292142349	0.8292142349	0.9419952494	0.9419952494
90	0.8820141005	0.4460461208	0.8820141005	0.8820141005	0.8292142349	0.8292142349	0.9419952494	0.9419952494
91	0.8776797252	0.4444186358	0.8776797252	0.8776797252	0.820234925	0.820234925	0.9437767221	0.9437767221
92	0.8776533475	0.4429220467	0.8776533475	0.8776533475	0.8201709119	0.8201709119	0.9438004751	0.9438004751
93	0.8776727337	0.4414216412	0.8776727337	0.8776727337	0.8202047725	0.8202047725	0.9438004751	0.9438004751
94	0.8773471393	0.4398169357	0.8773471393	0.8773471393	0.8195467013	0.8195467013	0.9439192399	0.9439192399
95	0.8773471393	0.4382511653	0.8773471393	0.8773471393	0.8195467013	0.8195467013	0.9439192399	0.9439192399
96	0.877359532	0.4366140114	0.877359532	0.877359532	0.8195504228	0.8195504228	0.9439429929	0.9439429929
97	0.877359532	0.4351539327	0.877359532	0.877359532	0.8195504228	0.8195504228	0.9439429929	0.9439429929
98	0.8773719244	0.4337344734	0.8773719244	0.8773719244	0.8195541441	0.8195541441	0.9439667458	0.9439667458
99	0.8780859091	0.4321649935	0.8780859091	0.8780859091	0.8197264901	0.8197264901	0.945391924	0.945391924
100	0.8780859091	0.4306161223	0.8780859091	0.8780859091	0.8197264901	0.8197264901	0.945391924	0.945391924
101	0.8780859091	0.4291434469	0.8780859091	0.8780859091	0.8197264901	0.8197264901	0.945391924	0.945391924
102	0.8780859091	0.4278195884	0.8780859091	0.8780859091	0.8197264901	0.8197264901	0.945391924	0.945391924
103	0.8780859091	0.4262899807	0.8780859091	0.8780859091	0.8197264901	0.8197264901	0.945391924	0.945391924
104	0.8784815714	0.4248479629	0.8784815714	0.8784815714	0.820362737	0.820362737	0.9454631829	0.9454631829
105	0.8784815714	0.4235103084	0.8784815714	0.8784815714	0.820362737	0.820362737	0.9454631829	0.9454631829
106	0.8784815714	0.4221635826	0.8784815714	0.8784815714	0.820362737	0.820362737	0.9454631829	0.9454631829
107	0.8784815714	0.4207027802	0.8784815714	0.8784815714	0.820362737	0.820362737	0.9454631829	0.9454631829
108	0.8837136883	0.4195638021	0.8837136883	0.8837136883	0.8308934248	0.8308934248	0.9437054632	0.9437054632
109	0.8837136883	0.4182228575	0.8837136883	0.8837136883	0.8308934248	0.8308934248	0.9437054632	0.9437054632
110	0.883726103	0.4168905128	0.883726103	0.883726103	0.8308969613	0.8308969613	0.9437292162	0.9437292162
111	0.8837705884	0.4155028743	0.8837705884	0.8837705884	0.8309387875	0.8309387875	0.9437767221	0.9437767221
112	0.8841514976	0.4142881496	0.8841514976	0.8841514976	0.8316309444	0.8316309444	0.9437529691	0.9437529691
113	0.8841514976	0.413050606	0.8841514976	0.8841514976	0.8316309444	0.8316309444	0.9437529691	0.9437529691
114	0.8841514976	0.4116908029	0.8841514976	0.8841514976	0.8316309444	0.8316309444	0.9437529691	0.9437529691
115	0.8841639129	0.4102334021	0.8841639129	0.8841639129	0.8316344685	0.8316344685	0.9437767221	0.9437767221
116	0.8841763279	0.4090190512	0.8841763279	0.8841763279	0.8316379924	0.8316379924	0.9438004751	0.9438004751
117	0.885912632	0.4077153059	0.885912632	0.885912632	0.8355720241	0.8355720241	0.9427078385	0.9427078385
118	0.888480296	0.4064284555	0.888480296	0.888480296	0.841363202	0.841363202	0.9411876485	0.9411876485
119	0.8884279452	0.405220261	0.8884279452	0.8884279452	0.8413642252	0.8413642252	0.9410688836	0.9410688836
120	0.8884403629	0.4040205677	0.8884403629	0.8884403629	0.8414434698	0.8414434698	0.9409976247	0.9409976247
121	0.8884279452	0.4027954286	0.8884279452	0.8884279452	0.8413642252	0.8413642252	0.9410688836	0.9410688836
122	0.8884453664	0.401707303	0.8884453664	0.8884453664	0.8414144632	0.8414144632	0.9410451306	0.9410451306
123	0.888495218	0.4004624257	0.888495218	0.888495218	0.8414279343	0.8414279343	0.9411401425	0.9411401425
124	0.8884553283	0.3994127047	0.8884553283	0.8884553283	0.8414323337	0.8414323337	0.9410451306	0.9410451306
125	0.888495218	0.3981896961	0.888495218	0.888495218	0.8414279343	0.8414279343	0.9411401425	0.9411401425
126	0.8897818599	0.397022982	0.8897818599	0.8897818599	0.8455992469	0.8455992469	0.9388361045	0.9388361045
127	0.8912555046	0.3959135258	0.8912555046	0.8912555046	0.8455111263	0.8455111263	0.9422327791	0.9422327791
128	0.8912454924	0.3948742458	0.8912454924	0.8912454924	0.8454931048	0.8454931048	0.9422327791	0.9422327791
129	0.8909452312	0.3937439497	0.8909452312	0.8909452312	0.8449528191	0.8449528191	0.9422327791	0.9422327791
130	0.8909452312	0.3926063643	0.8909452312	0.8909452312	0.8449528191	0.8449528191	0.9422327791	0.9422327791
131	0.8909452312	0.391630577	0.8909452312	0.8909452312	0.8449528191	0.8449528191	0.9422327791	0.9422327791
132	0.8909652423	0.390697231	0.8909652423	0.8909652423	0.8449888167	0.8449888167	0.9422327791	0.9422327791
133	0.8909901513	0.3896825732	0.8909901513	0.8909901513	0.8449954204	0.8449954204	0.942280285	0.942280285
134	0.8909901513	0.3885818391	0.8909901513	0.8909901513	0.8449954204	0.8449954204	0.942280285	0.942280285
135	0.8910101634	0.3874636951	0.8910101634	0.8910101634	0.8450314197	0.8450314197	0.942280285	0.942280285
136	0.8910001572	0.3866263942	0.8910001572	0.8910001572	0.8450134197	0.8450134197	0.942280285	0.942280285
137	0.8910101634	0.3855699458	0.8910101634	0.8910101634	0.8450314197	0.8450314197	0.942280285	0.942280285
138	0.8910101634	0.3844992245	0.8910101634	0.8910101634	0.8450314197	0.8450314197	0.942280285	0.942280285
139	0.8910101634	0.3836857891	0.8910101634	0.8910101634	0.8450314197	0.8450314197	0.942280285	0.942280285
140	0.8910377358	0.3827846081	0.8910377358	0.8910377358	0.8451001278	0.8451001278	0.9422565321	0.9422565321
141	0.8913483146	0.3818153473	0.8913483146	0.8913483146	0.8457356077	0.8457356077	0.9421615202	0.9421615202
142	0.8910377358	0.3808164322	0.8910377358	0.8910377358	0.8451001278	0.8451001278	0.9422565321	0.9422565321
143	0.8910377358	0.3797891195	0.8910377358	0.8910377358	0.8451001278	0.8451001278	0.9422565321	0.9422565321
144	0.8910201698	0.3787137188	0.8910201698	0.8910201698	0.8450494206	0.8450494206	0.942280285	0.942280285
145	0.8912003235	0.3779639432	0.8912003235	0.8912003235	0.8453735669	0.8453735669	0.942280285	0.942280285
146	0.8912379241	0.3771469174	0.8912379241	0.8912379241	0.8454603581	0.8454603581	0.9422565321	0.9422565321
147	0.8915410809	0.3763427835	0.8915410809	0.8915410809	0.8460636051	0.8460636051	0.9421852732	0.9421852732
148	0.8915586824	0.3756906415	0.8915586824	0.8915586824	0.8461144649	0.8461144649	0.9421615202	0.9421615202
149	0.8917342087	0.3747943956	0.8917342087	0.8917342087	0.8464690441	0.8464690441	0.9421140143	0.9421140143
150	0.8917342087	0.3738155114	0.8917342087	0.8917342087	0.8464690441	0.8464690441	0.9421140143	0.9421140143
151	0.8917241844	0.3729583044	0.8917241844	0.8917241844	0.8464509796	0.8464509796	0.9421140143	0.9421140143
152	0.8920450712	0.3719378256	0.8920450712	0.8920450712	0.8470294281	0.8470294281	0.9421140143	0.9421140143
153	0.8920551026	0.3710886118	0.8920551026	0.8920551026	0.8470475174	0.8470475174	0.9421140143	0.9421140143
154	0.8920851983	0.370269441	0.8920851983	0.8920851983	0.8471017898	0.8471017898	0.9421140143	0.9421140143
155	0.8920851983	0.3694622688	0.8920851983	0.8920851983	0.8471017898	0.8471017898	0.9421140143	0.9421140143
156	0.8920851983	0.3686337973	0.8920851983	0.8920851983	0.8471017898	0.8471017898	0.9421140143	0.9421140143
157	0.8922758512	0.3677362687	0.8922758512	0.8922758512	0.8474456766	0.8474456766	0.9421140143	0.9421140143
158	0.8922858878	0.3670002287	0.8922858878	0.8922858878	0.8474637836	0.8474637836	0.9421140143	0.9421140143
159	0.8922858878	0.3662912058	0.8922858878	0.8922858878	0.8474637836	0.8474637836	0.9421140143	0.9421140143
160	0.8922959247	0.365466054	0.8922959247	0.8922959247	0.8474818914	0.8474818914	0.9421140143	0.9421140143
161	0.8923059618	0.3647252741	0.8923059618	0.8923059618	0.8475	0.8475	0.9421140143	0.9421140143
162	0.8923059618	0.3640733253	0.8923059618	0.8923059618	0.8475	0.8475	0.9421140143	0.9421140143
163	0.8923059618	0.36330209	0.8923059618	0.8923059618	0.8475	0.8475	0.9421140143	0.9421140143
164	0.8923059618	0.3625794747	0.8923059618	0.8923059618	0.8475	0.8475	0.9421140143	0.9421140143
165	0.8923059618	0.3619586976	0.8923059618	0.8923059618	0.8475	0.8475	0.9421140143	0.9421140143
166	0.8923260366	0.3611030675	0.8923260366	0.8923260366	0.8475362195	0.8475362195	0.9421140143	0.9421140143
167	0.8923436902	0.3605070913	0.8923436902	0.8923436902	0.8475872975	0.8475872975	0.9420902613	0.9420902613
168	0.8923436902	0.3597462281	0.8923436902	0.8923436902	0.8475872975	0.8475872975	0.9420902613	0.9420902613
169	0.8923436902	0.3590501855	0.8923436902	0.8923436902	0.8475872975	0.8475872975	0.9420902613	0.9420902613
170	0.8923537286	0.3582892088	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
171	0.8923436902	0.3577217095	0.8923436902	0.8923436902	0.8475872975	0.8475872975	0.9420902613	0.9420902613
172	0.8923436902	0.3569110738	0.8923436902	0.8923436902	0.8475872975	0.8475872975	0.9420902613	0.9420902613
173	0.8923537286	0.3562897747	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
174	0.8923561505	0.3554324218	0.8923561505	0.8923561505	0.8475905545	0.8475905545	0.9421140143	0.9421140143
175	0.8923810702	0.3547855318	0.8923810702	0.8923810702	0.8475970682	0.8475970682	0.9421615202	0.9421615202
176	0.8923561505	0.3541882561	0.8923561505	0.8923561505	0.8475905545	0.8475905545	0.9421140143	0.9421140143
177	0.8923537286	0.3533875771	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
178	0.8923537286	0.3526111733	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
179	0.8923537286	0.3518199116	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
180	0.892403924	0.3511185885	0.892403924	0.892403924	0.8476959904	0.8476959904	0.9420902613	0.9420902613
181	0.8923537286	0.3502454465	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
182	0.8923537286	0.3495929583	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
183	0.892403924	0.3489108407	0.892403924	0.892403924	0.8476959904	0.8476959904	0.9420902613	0.9420902613
184	0.8923537286	0.3482939741	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
185	0.8923537286	0.3478223864	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
186	0.8923537286	0.347320041	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
187	0.8923537286	0.3467209572	0.8923537286	0.8923537286	0.8476054111	0.8476054111	0.9420902613	0.9420902613
188	0.8940539931	0.3459900449	0.8940539931	0.8940539931	0.8507561944	0.8507561944	0.9419952494	0.9419952494
189	0.8941043851	0.3453780746	0.8941043851	0.8941043851	0.8508474576	0.8508474576	0.9419952494	0.9419952494
190	0.8941043851	0.3446746705	0.8941043851	0.8941043851	0.8508474576	0.8508474576	0.9419952494	0.9419952494
191	0.8941067725	0.3440334712	0.8941067725	0.8941067725	0.8508324037	0.8508324037	0.9420190024	0.9420190024
192	0.8940943062	0.3435178279	0.8940943062	0.8940943062	0.8508292034	0.8508292034	0.9419952494	0.9419952494
193	0.8941067725	0.3429031213	0.8941067725	0.8941067725	0.8508324037	0.8508324037	0.9420190024	0.9420190024
194	0.8944217043	0.3421166019	0.8944217043	0.8944217043	0.8513835519	0.8513835519	0.9420427553	0.9420427553
195	0.894416942	0.3414063873	0.894416942	0.894416942	0.8514137272	0.8514137272	0.9419952494	0.9419952494
196	0.8944418759	0.3408276807	0.8944418759	0.8944418759	0.8514201069	0.8514201069	0.9420427553	0.9420427553
197	0.8963996064	0.3401317609	0.8963996064	0.8963996064	0.8556805667	0.8556805667	0.9411876485	0.9411876485
198	0.8944193232	0.339600786	0.8944193232	0.8944193232	0.8513986389	0.8513986389	0.9420190024	0.9420190024
199	0.8963769837	0.3391044264	0.8963769837	0.8963769837	0.8556589716	0.8556589716	0.9411638955	0.9411638955
